item,logged_relative_abundance_diff,qmd_diff_pvalue,qmd_density_diff,qmd_diff_qvalue,differentially_abundant_taxa
Lactobacillus,0.34610784612325746,0.12742355437146946,-0.17389215387674212,0.33756064403669983,No
Bacteroides,0.3497341654728585,0.8184386130586603,-0.17026583452714106,0.8820129854141809,No
Aeromicrobium,0.3599925265517885,0.7982978822132192,-0.1600074734482111,0.8820129854141809,No
Mogibacterium,0.3774084486269416,0.6329024872291908,-0.14259155137305796,0.7704732745172251,No
Pelomonas,0.3921766023720792,0.626568830207149,-0.1278233976279204,0.7704732745172251,No
Collinsella,0.4102166541212381,0.7960849333374385,-0.10978334587876148,0.8820129854141809,No
Sphingosinicella,0.4312657087838721,0.6366015940961982,-0.08873429121612747,0.7704732745172251,No
Veillonella,0.47432589189681224,0.8418810461024013,-0.04567410810318734,0.8828058191768237,No
Kluyvera,0.48857103589074063,0.6365024484153192,-0.03142896410925894,0.7704732745172251,No
Gordonibacter,0.4906047877951095,0.9742229936272557,-0.029395212204890053,0.9872998123336618,No
Asaccharobacter,0.5046844984514579,0.9280442217694023,-0.015315501548541666,0.9664460516357224,No
Herbaspirillum,0.5064043900201228,0.7916099504418539,-0.013595609979876744,0.8820129854141809,No
Caulobacter,0.5160852572596677,0.8064735265724898,-0.003914742740331878,0.8820129854141809,No
Turicibacter,0.523021037377641,0.8304068269062441,0.003021037377641478,0.8820129854141809,No
Sphingomonas,0.5413855399830367,0.7691261841446728,0.02138553998303716,0.8820129854141809,No
Granulicatella,0.5457426981654394,0.5861093249571732,0.025742698165439837,0.7695870266828969,No
Catenibacterium,0.5484806190164658,0.9472518409632293,0.028480619016466258,0.9730274012615485,No
Devosia,0.5590356066020911,0.4175460825054058,0.03903560660209149,0.6368632167506695,No
Clostridium_IV,0.5968008820841412,0.8130707785709299,0.0768008820841416,0.8820129854141809,No
Clostridium_XlVa,0.6142945327974728,0.5543595885974248,0.09429453279747324,0.7473955167697424,No
Christensenella,0.6180381179013125,0.9919402721812189,0.0980381179013129,0.9919402721812189,No
Bosea,0.6398219493516663,0.2182326155867611,0.11982194935166668,0.4562933480351115,No
Flavisolibacter,0.6744861593905761,0.8125243047440411,0.15448615939057653,0.8820129854141809,No
Atopobium,0.679713287106405,0.5496306946044776,0.15971328710640542,0.7473955167697424,No
Parabacteroides,0.6920033241300816,0.4637588007621103,0.172003324130082,0.6933423654958283,No
Coprococcus,0.696036863162752,0.8176734117118831,0.17603686316275247,0.8820129854141809,No
Holdemania,0.7164684543995821,0.6592116158657568,0.1964684543995825,0.777663703091635,No
Eggerthella,0.7228299822702604,0.5398716879025951,0.20282998227026083,0.7473955167697424,No
Ruminococcus,0.726470808545831,0.6256915306880919,0.20647080854583144,0.7704732745172251,No
Abiotrophia,0.7409023929342602,0.7958611506252979,0.22090239293426062,0.8820129854141809,No
Finegoldia,0.7565688708544845,0.52996202530792,0.23656887085448497,0.7473955167697424,No
Intestinimonas,0.7712823010738162,0.47058425665706727,0.25128230107381666,0.6966492426982074,No
Bradyrhizobium,0.7845101374651435,0.5827650502490427,0.26451013746514396,0.7695870266828969,No
Anaerococcus,0.8197297567564525,0.5168677091794458,0.29972975675645297,0.7362926800575124,No
Clostridium_XlVb,0.8198690070973618,0.3938043854416944,0.2998690070973622,0.607338028457462,No
Bacillus,0.8268413525413301,0.8313244854206174,0.3068413525413305,0.8820129854141809,No
Prevotella,0.8476241736407133,0.642911474100466,0.3276241736407137,0.7704732745172251,No
Flavonifractor,0.9011787747731114,0.24199946891963564,0.3811787747731118,0.4567739975858122,No
Paraprevotella,0.9280000871167119,0.4890980153719475,0.4080000871167123,0.7170271875841172,No
Erysipelotrichaceae_incertae_sedis,0.9296579139826927,0.19769645989911266,0.40965791398269313,0.429386807465305,No
Hungatella,0.9303593433403778,0.1240088697653623,0.41035934334037827,0.3343810595458876,No
Terrisporobacter,0.9628374948276751,0.23048435719088434,0.44283749482767554,0.4562933480351115,No
Butyricimonas,0.9898033816054433,0.16719057030914608,0.46980338160544377,0.3944652518231415,No
Scardovia,1.0279174030858806,0.3198168619435737,0.5079174030858811,0.5192725392847272,No
Lactonifactor,1.0415486004513035,0.2229396789750937,0.5215486004513039,0.4562933480351115,No
Senegalimassilia,1.0547337290214378,0.513656653556732,0.5347337290214382,0.7362926800575124,No
Pseudoflavonifractor,1.0739063804538374,0.11396022723804311,0.5539063804538378,0.3186665613508243,No
Odoribacter,1.0786323194067653,0.06400884271103946,0.5586323194067657,0.22477523835737112,No
Cronobacter,1.1157521172496474,0.1544213178016709,0.5957521172496478,0.37609062883955335,No
Rhodopseudomonas,1.1181436003780245,0.959921578634932,0.5981436003780249,0.9793794484721265,No
Stomatobaculum,1.118169943799074,0.24147693653099034,0.5981699437990744,0.4567739975858122,No
Weissella,1.1656818970924323,0.19464337367330442,0.6456818970924327,0.429386807465305,No
Fusicatenibacter,1.1659445683502256,0.012738417735236318,0.6459445683502261,0.08743186718275837,No
Coprobacter,1.1779197142408917,0.24963422490728782,0.6579197142408921,0.45969229220732266,No
Oribacterium,1.2011679870040153,0.06975640594026689,0.6811679870040157,0.23939130220409774,No
Bifidobacterium,1.2087881374046399,0.07454503555120784,0.6887881374046403,0.25014000818294185,No
Lachnoanaerobaculum,1.2702012370360727,0.08783155971248702,0.7502012370360731,0.2763034482621987,No
Anaerotruncus,1.3178741134229073,0.013919173460518186,0.7978741134229077,0.09138239967557592,No
Barnesiella,1.3551063830337922,0.10338073354205912,0.8351063830337926,0.3060880542127633,No
Campylobacter,1.3727137609738225,0.3082893761441938,0.8527137609738229,0.5115570966788271,No
Ezakiella,1.3840655505024262,0.2485346962198678,0.8640655505024266,0.45969229220732266,No
Leptotrichia,1.451768222926905,0.2722535987769894,0.9317682229269055,0.48822546788021376,No
Gemella,1.4781354032603229,0.0030736961097934667,0.9581354032603233,0.029008007036175842,Yes
Alistipes,1.4895897406320493,0.015167223239931582,0.9695897406320497,0.09424510678729506,No
Burkholderia,1.5595620222261792,0.012631085642369033,1.0395620222261797,0.08743186718275837,No
Sutterella,1.5884051857526156,0.06221248478309027,1.068405185752616,0.22366869529158648,No
Olsenella,1.6658758948021142,0.1371502193130676,1.1458758948021146,0.34516138527122014,No
Enterococcus,1.6774774250385398,0.022573081561800157,1.1574774250385402,0.1136178438610608,No
Methanobrevibacter,1.686940164415449,0.09609232616500418,1.1669401644154493,0.2901988250183126,No
Akkermansia,1.6976342747446362,0.04572918583954677,1.1776342747446367,0.1866245151830152,No
Clostridium_III,1.7702827362108915,0.1821610868022645,1.250282736210892,0.41676248647184755,No
Oscillibacter,1.8385986716033318,0.0001749913059341246,1.3185986716033322,0.0029359652440058685,Yes
Aggregatibacter,1.8664028067742684,0.29378953289166754,1.3464028067742688,0.49845190411957074,No
Eisenbergiella,1.8808973519963137,0.0017662630341235275,1.3608973519963141,0.024245974377513878,Yes
Solobacterium,1.8947622751797122,0.015603494501207793,1.3747622751797126,0.09424510678729506,No
Comamonas,1.9210515274826316,0.056478844931534766,1.401051527482632,0.2186745021708141,No
Megamonas,1.9393295343143517,0.0371007859473218,1.4193295343143522,0.16047551802314572,No
Peptoniphilus,2.004063588688741,0.03672519458355228,1.4840635886887412,0.16047551802314572,No
Acidaminococcus,2.062863319510928,0.11775458426659302,1.5428633195109285,0.32328985862282816,No
Acetanaerobacterium,2.1031952899106874,0.004485883459520279,1.5831952899106878,0.03763157791042012,Yes
Megasphaera,2.119867094834388,0.0024160746567125635,1.5998670948343885,0.026059090940256935,Yes
Desulfovibrio,2.172513734662239,0.0019382651400692286,1.6525137346622394,0.024389836345871125,Yes
Holdemanella,2.211452463194484,0.07999107639549274,1.6914524631944845,0.26140991806996267,No
Butyricicoccus,2.2676086543790923,0.13091112886907763,1.7476086543790927,0.33958449431719445,No
Parvimonas,2.314449017684667,0.001449145189704959,1.7944490176846672,0.02188209236454488,Yes
Cloacibacillus,2.451977364153539,0.5443701002591239,1.9319773641535396,0.7473955167697424,No
Pyramidobacter,2.4620421949457714,0.11134688484433575,1.9420421949457718,0.3186665613508243,No
Fusobacterium,2.781046987533433,1.513092956950679e-05,2.2610469875334336,0.0005711925912488813,Yes
Clostridium_XI,2.8096747347249167,0.004260478272715362,2.289674734724917,0.03763157791042012,Yes
Peptostreptococcus,2.9128928603152184,3.4676654880883007e-07,2.392892860315219,1.7453916290044447e-05,Yes
Alloprevotella,3.2106570400110965,0.005363152747687394,2.690657040011097,0.04262295078425245,Yes
Porphyromonas,3.6599457081728115,0.006339272093385917,3.139945708172812,0.04786150430506367,Yes
