item,logged_relative_abundance_diff,ancomP,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,qml_logged_loads_diff,taxa,genus,family,order,class,taxaName
taxa33042,0.15933685026073707,0.0,0.275731772455331,0.275731772455331,0.0006653240000974145,-0.5306631497392624,33042,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Coprococcus
taxa375288,0.26457623776581585,0.0,0.030087632588453955,0.030087632588453955,0.00014473103035225036,-0.4254237622341837,375288,Parabacteroides,Porphyromonadaceae,Bacteroidales,Bacteroidia,Parabacteroides
taxa1654,0.3751232735590335,0.0,0.2206414987940547,0.2206414987940547,0.3833602388081943,-0.31487672644096604,1654,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinomyces
taxa841,0.3758910245363801,0.0,0.0007114607213099749,0.0007114607213099749,0.12859728016282654,-0.3141089754636193,841,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Roseburia
taxa1357,0.44742056506308,0.0,0.07586591995623683,0.07586591995623683,0.723199083184187,-0.2425794349369195,1357,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Lactococcus
taxa52225,0.46550032065864505,0.0,0.3965386642181015,0.3965386642181015,0.7095793909772651,-0.2244996793413545,52225,Mitsuokella,Selenomonadaceae,Selenomonadales,Negativicutes,Mitsuokella
taxa1017280,0.5144898689008421,0.0,0.03002791230073352,0.03002791230073352,0.9705130686047722,-0.17551013109915736,1017280,Pseudoflavonifractor,unclassified Clostridiales,Clostridiales,Clostridia,Pseudoflavonifractor
taxa264995,0.5662059732742648,0.0,0.017691324232737653,0.017691324232737653,0.9495787208450236,-0.1237940267257347,264995,Anaerofustis,Eubacteriaceae,Clostridiales,Clostridia,Anaerofustis
taxa40544,0.578395417902394,0.0,0.03987672744977362,0.03987672744977362,0.4926971395942125,-0.11160458209760547,40544,Sutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Sutterella
taxa1485,0.5900888841668657,0.0,0.016431466119094008,0.016431466119094008,0.2243594873697028,-0.09991111583313383,1485,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Clostridium
taxa644652,0.5990326599868219,0.0,0.01607783255008424,0.01607783255008424,0.8712696794353868,-0.09096734001317763,644652,Gordonibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia,Gordonibacter
taxa1678,0.6125139304784151,0.0,0.025421775695725124,0.025421775695725124,0.18512269859035424,-0.07748606952158442,1678,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Bifidobacterium
taxa698776,0.6581629618036509,0.0,0.07877982790872708,0.07877982790872708,0.4071418367904233,-0.031837038196348644,698776,Cellulosilyticum,Lachnospiraceae,Clostridiales,Clostridia,Cellulosilyticum
taxa102106,0.6863657463680557,0.0,8.382193555997699e-05,8.382193555997699e-05,0.7329122853677423,-0.0036342536319438072,102106,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Collinsella
taxa1730,0.6973505496260985,0.0,5.263291878512833e-07,5.263291878512833e-07,0.7445221686835721,0.0073505496260990455,1730,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Eubacterium
taxa447020,0.9399933644568126,0.0,0.00047514005414058165,0.00047514005414058165,0.2588191298052093,0.2499933644568131,447020,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Adlercreutzia
taxa572511,0.9580200317083128,0.0,9.699765451773e-17,9.699765451773e-17,0.01800658156000019,0.26802003170831323,572511,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Blautia
taxa2048137,0.9588602758005572,1.0,0.0011903627580781286,0.0011903627580781286,0.37637272004215616,0.2688602758005576,2048137,Agathobaculum,Ruminococcaceae,Clostridiales,Clostridia,Agathobaculum
taxa1243,0.9650355567037804,0.0,0.022846143514992808,0.022846143514992808,0.34738124073701937,0.2750355567037808,1243,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Leuconostoc
taxa1301,1.0145720657645219,0.0,1.244223022178143e-09,1.244223022178143e-09,0.01571460779338459,0.3245720657645226,1301,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Streptococcus
taxa29465,1.043070408018993,0.0,0.0008357027542750308,0.0008357027542750308,0.3645917571402717,0.3530704080189935,29465,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Veillonella
taxa52784,1.07053410150791,0.0,0.0008893475324197633,0.0008893475324197633,0.1250871727153818,0.3805341015079105,52784,Anaerofilum,Ruminococcaceae,Clostridiales,Clostridia,Anaerofilum
taxa216851,1.1919585108061668,1.0,1.046124866121977e-30,1.046124866121977e-30,4.333358522435144e-11,0.5019585108061673,216851,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Faecalibacterium
taxa1279,1.2097744498208165,0.0,0.005770640149365603,0.005770640149365603,0.3433921786600308,0.519774449820817,1279,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Staphylococcus
taxa207244,1.360496415396918,0.0,2.307703498148549e-08,2.307703498148549e-08,0.004422254729284262,0.6704964153969186,207244,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Anaerostipes
taxa2282742,1.3813732629715822,0.0,9.306888478542213e-07,9.306888478542213e-07,0.012312030450884474,0.6913732629715827,2282742,Desulfofarcimen ,Peptococcaceae,Clostridiales,Clostridia,Desulfofarcimen 
taxa1716,1.4247763470385344,0.0,0.00017077897428603535,0.00017077897428603535,0.06388281457270806,0.7347763470385349,1716,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Corynebacterium
taxa1350,1.4414270530041688,0.0,0.00011955031882643471,0.00011955031882643471,0.014160984428983496,0.7514270530041696,1350,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Enterococcus
taxa1380,1.4624435761534436,0.0,4.44797797460875e-05,4.44797797460875e-05,0.030381467374790864,0.7724435761534441,1380,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia,Atopobium
taxa872,1.4897176177931275,0.0,2.7294485443539704e-06,2.7294485443539704e-06,0.0028974671256757852,0.7997176177931279,872,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Desulfovibrio
taxa189330,1.5683309356952986,1.0,7.323628840206022e-24,7.323628840206022e-24,1.5626659933507338e-09,0.8783309356952991,189330,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Dorea
taxa838,1.6155903094507442,0.0,1.6102419879998428e-06,1.6102419879998428e-06,0.0032414255399088477,0.9255903094507448,838,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Prevotella
taxa117563,1.670292806888492,0.0,2.3932069179431194e-07,2.3932069179431194e-07,0.00246891426659173,0.9802928068884924,117563,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli,Granulicatella
taxa32207,1.7167276005247096,0.0,2.1598220285376494e-08,2.1598220285376494e-08,0.0003276174033173429,1.02672760052471,32207,Rothia,Micrococcaceae,Micrococcales,Actinobacteria,Rothia
taxa1505663,1.8090764227956857,1.0,4.669537989104925e-05,4.669537989104925e-05,0.018562208032277698,1.1190764227956862,1505663,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Erysipelatoclostridium
taxa2039240,2.0218681509558247,0.0,1.015166748808596e-08,1.015166748808596e-08,4.9262781645581604e-05,1.3318681509558257,2039240,Anaerotignum,Lachnospiraceae,Clostridiales,Clostridia,Anaerotignum
taxa39948,2.060306782379272,0.0,1.6298609582778105e-07,1.6298609582778105e-07,0.001442758192965934,1.3703067823792718,39948,Dialister,Veillonellaceae,Veillonellales,Negativicutes,Dialister
taxa283168,2.0793462391769917,0.0,1.532207688589669e-11,1.532207688589669e-11,7.09831249763734e-05,1.3893462391769926,283168,Odoribacter,Odoribacteraceae,Bacteroidales,Bacteroidia,Odoribacter
taxa830,2.1008412530912235,0.0,0.0002611749596263543,0.0002611749596263543,0.13707183672323608,1.4108412530912242,830,Butyrivibrio,Lachnospiraceae,Clostridiales,Clostridia,Butyrivibrio
taxa1386,2.134886430396893,0.0,2.001011212968737e-15,2.001011212968737e-15,4.319210598430055e-09,1.4448864303968936,1386,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillus
taxa1505657,2.2621169555745957,0.0,1.7968998011874512e-05,1.7968998011874512e-05,0.0026628941282336714,1.5721169555745966,1505657,Intestinibacter,Peptostreptococcaceae,Clostridiales,Clostridia,Intestinibacter
taxa577309,2.4019401998297774,1.0,3.247317188417413e-06,3.247317188417413e-06,0.0010975085276636487,1.711940199829778,577309,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Paraprevotella
taxa100883,2.4501781932003155,1.0,9.061517892127785e-11,9.061517892127785e-11,6.488209884699389e-07,1.7601781932003158,100883,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Coprobacillus
taxa561,2.4604945138320944,1.0,1.2586434631390365e-15,1.2586434631390365e-15,5.211921098087388e-09,1.7704945138320944,561,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Escherichia
taxa133925,2.580264293770618,0.0,1.8406336070494463e-10,1.8406336070494463e-10,1.6784793839074338e-06,1.8902642937706189,133925,Olsenella,Atopobiaceae,Coriobacteriales,Coriobacteriia,Olsenella
taxa570,2.6533345418378804,0.0,0.000238305300156237,0.000238305300156237,0.0052528378504224475,1.963334541837881,570,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Klebsiella
taxa2005359,2.7322067578576448,0.0,4.952051294642632e-15,4.952051294642632e-15,5.5703277935041776e-11,2.0422067578576453,2005359,Faecalicatena,Lachnospiraceae,Clostridiales,Clostridia,Faecalicatena
taxa286,2.7526432745425087,0.0,5.727676722864718e-07,5.727676722864718e-07,6.849101856150565e-05,2.062643274542509,286,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonas
taxa1506553,2.7662714192392315,1.0,2.5085719052117376e-19,2.5085719052117376e-19,4.717369112526576e-15,2.076271419239232,1506553,Lachnoclostridium,Lachnospiraceae,Clostridiales,Clostridia,Lachnoclostridium
taxa86331,2.9423432054054683,0.0,7.236751247142713e-10,7.236751247142713e-10,3.827688696057321e-07,2.2523432054054684,86331,Mogibacterium,Clostridiales Family XIII. Incertae Sedis,Clostridiales incertae sedis,Clostridiales,Mogibacterium
taxa906,3.0175197781175545,0.0,3.0926549605505706e-08,3.0926549605505706e-08,0.00012836557621185795,2.327519778117555,906,Megasphaera,Veillonellaceae,Veillonellales,Negativicutes,Megasphaera
taxa1378,3.035526003687753,1.0,1.4245603464867994e-18,1.4245603464867994e-18,1.3803741988955843e-12,2.3455260036877537,1378,Gemella,Bacillales Family XI. Incertae Sedis,Bacillales incertae sedis,Bacillales,Gemella
taxa35832,3.2988077709435206,1.0,6.091316496216265e-39,6.091316496216265e-39,1.0801827036476155e-26,2.608807770943521,35832,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Bilophila
taxa848,3.4228634335458765,1.0,4.1882444108598294e-09,4.1882444108598294e-09,7.760123286879155e-07,2.732863433545877,848,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacterium
taxa123375,4.1085359442152924,1.0,4.3558958459025605e-22,4.3558958459025605e-22,1.2415420469969054e-17,3.418535944215293,123375,Solobacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Solobacterium
taxa836,4.34568625173856,1.0,1.248481597742178e-21,1.248481597742178e-21,1.6582616955586027e-16,3.65568625173856,836,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Porphyromonas
taxa292632,4.562305680939434,1.0,2.5109167635377304e-30,2.5109167635377304e-30,1.6681707981580829e-15,3.8723056809394336,292632,Subdoligranulum,Ruminococcaceae,Clostridiales,Clostridia,Subdoligranulum
taxa904,4.750770867558705,1.0,6.612367040615251e-21,6.612367040615251e-21,1.0834338781405148e-16,4.0607708675587055,904,Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Acidaminococcus
